young_player,role_comp,cosine_similarity,euclidean_distance
Jared McCain,Fred VanVleet,0.3766,0.3649
Jared McCain,Dillon Brooks,0.3561,0.2409
Jared McCain,Miles Bridges,0.32,0.2181
Jared McCain,Michael Porter Jr.,0.2284,0.4139
Jared McCain,Ty Jerome,0.2105,0.3765
Jared McCain,Malik Monk,0.0931,0.4054
Jared McCain,Jerami Grant,0.0365,0.3628
Jared McCain,Caris LeVert,0.0023,0.3488
Jared McCain,Mikal Bridges,-0.0284,0.4381
Jared McCain,Jordan Clarkson,-0.1907,0.4332
Jared McCain,Aaron Gordon,-0.2846,0.3266
Jared McCain,CJ McCollum,-0.3473,0.4749
Jared McCain,John Collins,-0.3477,0.521
Jared McCain,Tobias Harris,-0.3608,0.3987
Jared McCain,Dennis Schröder,-0.3856,0.6211
Jared McCain,Khris Middleton,-0.6563,0.5954
Jonathan Kuminga,John Collins,0.4819,0.4028
Jonathan Kuminga,Jordan Clarkson,0.4049,0.3905
Jonathan Kuminga,Caris LeVert,0.3881,0.3664
Jonathan Kuminga,Tobias Harris,0.2596,0.3996
Jonathan Kuminga,Ty Jerome,0.2198,0.4552
Jonathan Kuminga,Miles Bridges,0.211,0.3693
Jonathan Kuminga,Dennis Schröder,0.1785,0.5796
Jonathan Kuminga,Malik Monk,0.1387,0.4841
Jonathan Kuminga,CJ McCollum,0.0857,0.4972
Jonathan Kuminga,Khris Middleton,0.0626,0.5612
Jonathan Kuminga,P.J. Washington,0.058,0.4828
Jonathan Kuminga,Aaron Gordon,-0.0453,0.4297
Jonathan Kuminga,Mikal Bridges,-0.0639,0.5478
Jonathan Kuminga,Dillon Brooks,-0.1509,0.4569
Jonathan Kuminga,Jerami Grant,-0.1669,0.5182
Jonathan Kuminga,Michael Porter Jr.,-0.341,0.6354
Jonathan Kuminga,Nickeil Alexander-Walker,-0.4468,0.5107
Jonathan Kuminga,Cameron Johnson,-0.5201,0.7612
